tarih,kullanıcı,soru,cevap,feedback,skor
2026-05-01 20:52:10.437342,efe,2+2?,6,YANLIŞ ❌,0
2026-05-01 20:53:59.732132,efe,3+3?,4,YANLIŞ ❌,10
2026-05-01 21:00:18.095840,efe,2+2?,4,DOĞRU,10
2026-05-01 21:00:18.968573,efe,2+2?,4,DOĞRU,20
2026-05-01 21:00:19.254948,efe,2+2?,4,DOĞRU,30
2026-05-01 21:00:19.413080,efe,2+2?,4,DOĞRU,40
2026-05-01 21:00:19.613624,efe,2+2?,4,DOĞRU,50
2026-05-01 21:00:25.241382,efe,3+3?,6,DOĞRU,60
2026-05-07 16:29:16.152408,efe,2+2?,4,DOĞRU,10
2026-05-07 16:29:27.097427,efe,3+3?,6,DOĞRU,20
2026-05-07 16:29:30.732588,efe,3+3?,6,DOĞRU,30
2026-05-07 16:29:34.000656,efe,3+3?,6,DOĞRU,40
2026-05-07 16:29:34.267053,efe,3+3?,6,DOĞRU,50
2026-05-07 16:29:34.500722,efe,3+3?,6,DOĞRU,60
2026-05-07 16:29:35.249177,efe,3+3?,6,DOĞRU,70
2026-05-07 16:29:35.493281,efe,3+3?,6,DOĞRU,80
2026-05-07 16:29:35.812580,efe,3+3?,6,DOĞRU,90
2026-05-07 16:29:35.930882,efe,3+3?,6,DOĞRU,100
2026-05-07 16:29:36.608906,efe,3+3?,6,DOĞRU,110
2026-05-07 16:29:36.715377,efe,3+3?,6,DOĞRU,120
2026-05-07 16:29:36.889500,efe,3+3?,6,DOĞRU,130
2026-05-07 16:29:37.575460,efe,3+3?,6,DOĞRU,140
2026-05-07 16:29:37.699258,efe,3+3?,6,DOĞRU,150
2026-05-07 16:29:37.856927,efe,2+2?,6,YANLIŞ,150
